Agency,USGS,Date,Time,DateTime,Time zone,Site,Qw (cfs),Qw (cms),SSC (mg/l),OM%
USGS,8359500,7/4/21,14:30,7/4/21 14:30,MDT,MS1,721,20.42,1367.79,11.5
USGS,8359500,7/4/21,15:30,7/4/21 15:30,MDT,MS2,599,16.96,1768.64,13.6
USGS,8359500,7/4/21,16:45,7/4/21 16:45,MDT,MS3,483,13.68,1715.15,13.5
USGS,8359500,7/5/21,9:15,7/5/21 9:15,MDT,MS3,280,7.93,46717.52,7.8
USGS,8359500,7/5/21,15:30,7/5/21 15:30,MDT,D3,235,6.65,38138.78,8.5
USGS,8359500,7/6/21,8:45,7/6/21 8:45,MDT,MS3,198,5.61,16384.13,8.3
USGS,8359500,7/6/21,10:00,7/6/21 10:00,MDT,MS1,196,5.55,13461.62,8.5
USGS,8359500,7/6/21,12:30,7/6/21 12:30,MDT,Narrows,188,5.32,11819.31,9
USGS,8359500,11/1/21,11:30,11/1/21 11:30,MST,MS3,140,3.96,1705.39,6.5
USGS,8359500,3/20/22,10:00,3/20/22 10:00,MDT,MS3,374,10.59,2402.25,3.4
USGS,8359500,3/20/22,13:00,3/20/22 13:00,MDT,MS4,379,10.73,583.9,7.5
USGS,8359500,3/20/22,18:00,3/20/22 18:00,MDT,MS2,387,10.96,887.13,5.3
USGS,8359500,3/22/22,17:00,3/22/22 17:00,MDT,MS4,406,11.5,489.47,8.3
USGS,8359500,3/22/22,17:45,3/22/22 17:45,MDT,MS3,410,11.61,989.04,4.1
USGS,8359500,5/6/22,15:15,5/6/22 15:15,MDT,MS3,1320,37.38,2217.72,6
USGS,8359500,5/7/22,9:00,5/7/22 9:00,MDT,MS1,1370,38.79,2360.56,6
USGS,8359500,5/7/22,10:10,5/7/22 10:10,MDT,MS2.5,1380,39.08,2167.42,6.2
USGS,8359500,5/7/22,10:15,5/7/22 10:15,MDT,MS3,1380,39.08,2621.97,5.7
USGS,8359500,5/7/22,13:00,5/7/22 13:00,MDT,MS4,1360,38.51,2019.75,6.4
USGS,8359500,5/8/22,14:30,5/8/22 14:30,MDT,MS3,1230,34.83,1982,5.5
USGS,8359500,9/16/22,9:25,9/16/22 9:25,MDT,MS1,89.7,2.54,479.65,13.7
USGS,8359500,9/16/22,12:05,9/16/22 12:05,MDT,MS3,92.8,2.63,521.2,15
USGS,8359500,9/16/22,13:27,9/16/22 13:27,MDT,MS3.5,92.8,2.63,640.74,10
USGS,8359500,9/16/22,14:03,9/16/22 14:03,MDT,MS4,92.8,2.63,644.34,10.6
USGS,8359500,9/17/22,13:15,9/17/22 13:15,MDT,MS1,97.7,2.77,1406.49,10
USGS,8359500,9/17/22,10:16,9/17/22 10:16,MDT,MS4,97.7,2.77,1428.49,8.9
USGS,8359500,9/17/22,12:17,9/17/22 12:17,MDT,MS3,99.4,2.81,1348.96,10.1
USGS,8359500,9/18/22,13:15,9/18/22 13:15,MDT,MS5,106,3,1190.56,10.6